,keywords,number_of_times_word_appeared,tf,idf,tf_idf
66,si,8,0.004388370817334065,-2.0794415416798357,-0.009125360577859948
30,cáncer,5,0.0027427317608337905,-1.6094379124341003,-0.004414256479523039
45,mujer,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
47,detectar,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
79,salud,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
163,En,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
20,visita,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
153,MÉDICA,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
31,tiempo,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
7,prevención,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
88,anual,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
149,Les,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
131,No,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
150,lesiones,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
176,vida,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
120,reproductor,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
59,límites,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
137,mama,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
65,ginecológica,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
129,sexual,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
132,aparato,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
95,diu,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
15,infecciones,1,0.0005485463521667581,0.0,0.0
16,consultar,1,0.0005485463521667581,0.0,0.0
17,forma,1,0.0005485463521667581,0.0,0.0
18,aún,1,0.0005485463521667581,0.0,0.0
19,evitar,1,0.0005485463521667581,0.0,0.0
53,principales,1,0.0005485463521667581,0.0,0.0
52,síntomas,1,0.0005485463521667581,0.0,0.0
101,tero,1,0.0005485463521667581,0.0,0.0
56,mujeres,1,0.0005485463521667581,0.0,0.0
82,control,1,0.0005485463521667581,0.0,0.0
14,anticoncepción,1,0.0005485463521667581,0.0,0.0
22,desterramos,1,0.0005485463521667581,0.0,0.0
13,patología,1,0.0005485463521667581,0.0,0.0
44,provocado,1,0.0005485463521667581,0.0,0.0
11,Hs,1,0.0005485463521667581,0.0,0.0
9,comomecuido,1,0.0005485463521667581,0.0,0.0
6,RECETAS,1,0.0005485463521667581,0.0,0.0
2,causa,1,0.0005485463521667581,0.0,0.0
24,Que,1,0.0005485463521667581,0.0,0.0
26,Mantener,1,0.0005485463521667581,0.0,0.0
39,Prevenir,1,0.0005485463521667581,0.0,0.0
49,Orgullosa,1,0.0005485463521667581,0.0,0.0
48,Por,1,0.0005485463521667581,0.0,0.0
83,etapa,1,0.0005485463521667581,0.0,0.0
43,Recomiendo,1,0.0005485463521667581,0.0,0.0
42,hábitos,1,0.0005485463521667581,0.0,0.0
40,La,1,0.0005485463521667581,0.0,0.0
12,sexuales,1,0.0005485463521667581,0.0,0.0
84,muerte,1,0.0005485463521667581,0.0,0.0
91,decimos,1,0.0005485463521667581,0.0,0.0
87,anticonceptivos,1,0.0005485463521667581,0.0,0.0
76,pueden,1,0.0005485463521667581,0.0,0.0
75,constituyen,1,0.0005485463521667581,0.0,0.0
74,preocupes,1,0.0005485463521667581,0.0,0.0
73,contexto,1,0.0005485463521667581,0.0,0.0
72,VIRTUAL,1,0.0005485463521667581,0.0,0.0
71,ginecosalud,1,0.0005485463521667581,0.0,0.0
70,nicamente,1,0.0005485463521667581,0.0,0.0
69,detección,1,0.0005485463521667581,0.0,0.0
68,transmisión,1,0.0005485463521667581,0.0,0.0
67,posts,1,0.0005485463521667581,0.0,0.0
64,debemos,1,0.0005485463521667581,0.0,0.0
63,tiempos,1,0.0005485463521667581,0.0,0.0
62,Permiten,1,0.0005485463521667581,0.0,0.0
61,higiénicos,1,0.0005485463521667581,0.0,0.0
60,realizar,1,0.0005485463521667581,0.0,0.0
77,Chau,1,0.0005485463521667581,0.0,0.0
78,Estas,1,0.0005485463521667581,0.0,0.0
80,familiar,1,0.0005485463521667581,0.0,0.0
38,prevenciónes,1,0.0005485463521667581,0.0,0.0
98,razones,1,0.0005485463521667581,0.0,0.0
96,cambiar,1,0.0005485463521667581,0.0,0.0
94,Todos,1,0.0005485463521667581,0.0,0.0
93,ATENCIÓN,1,0.0005485463521667581,0.0,0.0
92,profesional,1,0.0005485463521667581,0.0,0.0
90,cada,1,0.0005485463521667581,0.0,0.0
81,solicitar,1,0.0005485463521667581,0.0,0.0
89,estudio,1,0.0005485463521667581,0.0,0.0
86,elecciones,1,0.0005485463521667581,0.0,0.0
27,cuidar,1,0.0005485463521667581,0.0,0.0
128,fin,1,0.0005485463521667581,0.0,0.0
36,CONSULTA,1,0.0005485463521667581,0.0,0.0
